Year,Female Director,Films,Genre
,Melina Matsoukas,Queen & Slim,Romance Thriller
,Chelsea Stardust,Satanic Panic,Horror
,Joanna Hogg,The Souvenir,Romance
,Lynn Shelton,Sword of Trust,Comedy
,Martha Stephens,To the Stars,Horror
,Magdalena Zyzak,When I'm a Moth,Drama
2020,Brea Grant,Hour Shift,Horror
,Cathy Yan,Birds of Prey,Action
,Zoe Lister-Jones,The Craft: Legacy,Horror
,Rahda Blank,The Forty-Year-Old Version,Comedy
,Julie Taymor,The Glorias,Biography
,Nisha Ganatra,The High Note,Comedy
,Nicole Riegel,Holler,Drama
,Julia Hart,I'm Your Woman,Thriller
,Miranda July,Kajillionaire,Comedy
,Natasha Kermani,Lucky,Horror
,Sabrina Doyle,Lorelei,Drama
,Gia Coppola,Mainstream,Rom-com
,Eliza Hittman,Never Rarely Sometimes Always,Drama
,Chloé Zhao,Nomadland,Drama
,Gina Prince-Bythewood,The Old Guard,Action
,Emerald Fennell,Promising Young Woman,Thriller
,Sally Potter,The Roads Not Taken,Drama
,Amy Seimetz,She Dies Tomorrow,Thriller
,Josephine Decker,Shirley,Horror
,Emma Seligman,Shiva Baby,Comedy
,Patty Jenkins,Wonder Woman 1984,Action
,Mona Fastvold,The World to Come,Drama
2021,Amy Koppelman,A Mouthful of Air,Drama
,Cate Shortland,Black Widow,Sci-fi
,Nia DaCosta,Candyman,Horror
,Chloé Zhao,Eternals,Action
,Megan Park,The Fallout,Drama
,Axelle Carolyn,The Manor,Horror
,Hannah Marks,"Mark, Mary & Some Other People",Rom-com
,Lana Wachowski,The Matrix Resurrections,Sci-fi
,Karen Cinorre,Mayday,Action
,Ana Lily Amirpour,Mona Lisa and the Blood Moon,Thriller
,Lauren Hadaway,The Novice,Thriller
,Nikole Beckwith,Together Together,Rom-com
,Justine Bateman,Violet,Drama
,Janicza Bravo,Zola,Comedy
2022,Mary Nighy,"Alice, Darling",Thriller
,Aitch Alberto,Aristotle and Dante Discover the Secrets of the Universe,Romance
,Halina Reijn,Bodies Bodies Bodies,Horror
,Mary Harron,Dalíland,Biography
,Vanessa Winters,Deadstream,Horror
,Hannah Marks,Don't Make Me Go,Drama
,Mimi Cave,Fresh,Horror
,Rebekah McKendry,Glorious,Horror
,Katie Aselton,Mack & Rita,Comedy
,Mali Elfman,Next Exit,Sci-fi
,Maria Schrader,She Said,Drama
,Kelly Reichardt,Showing Up,Comedy
,Josephine Decker,The Sky Is Everywhere,Romance
,Brea Grant,Torn Hearts,Horror
,Iris K. Shim,Umma,Horror
,Olivia Newman,Where the Crawdads Sing,Drama
,Sarah Polley,Women Talking,Drama
2023,A.V. Rockwell,A Thousand and One,Drama
,Laura Terruso,About My Father,Comedy
,Raven Jackson,All Dirt Roads Taste of Salt,Drama
,Kelly Fremon Craig,Are You There God? It's Me,Comedy
,Greta Gerwig,Barbie,Comedy
,Laura Moss,Birth/Rebirth,Horror
,Emma Seligman,Bottoms,Comedy
,Elizabeth Banks,Cocaine Bear,Horror
,Chloe Domont,Fair Play,Thriller
,Emma Tammi,Five Nights at Freddy's,Horror
,Adele Lim,Joy Ride,Comedy
,Teresa Sutherland,"Lovely, Dark, and Deep",Horror
,Catherine Hardwicke,Mafia Mamma,Comedy
,Nia DaCosta,The Marvels,Sci-fi
,Celine Song,Past Lives,Romance
,Jennifer Reeder,Perpetrator,Horror
,Sofia Coppola,Priscilla,Biography
,Leah McKendrick,Scrambled,Comedy
,Rachel Lambert,Sometimes I Think About Dying,Rom-com
,Laurel Parmet,The Starling Girl,Drama
,Roxanne Benjamin,There's Something Wrong with the Children,Horror
,Nahnatchka Khan,Totally Killer,Comedy
,Yoko Okumura,Unseen,Horror
,Nicole Holofcener,You Hurt My Feelings,Rom-com
2024,S. J. Clarkson,Madame Web,Action
,Victoria Mahoney,The Old Guard 2,Action
,M. J. Bassett,Red Sonja,Action
,Kelly Marcel,Venom: The Last Dance,Action
,Samantha Jayne,Mean Girls,Comedy
